Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,1.523438,1.562500,1.523438,1.546875,0.129517,590400
1980-03-18,1.546875,1.578125,1.546875,1.570313,0.131479,294400
1980-03-19,1.570313,1.617188,1.570313,1.593750,0.133441,219200
1980-03-20,1.593750,1.609375,1.562500,1.570313,0.131479,316800
1980-03-21,1.570313,1.585938,1.570313,1.570313,0.131479,158400
1980-03-24,1.570313,1.601563,1.562500,1.585938,0.132787,220800
1980-03-25,1.585938,1.585938,1.554688,1.562500,0.130825,184000
1980-03-26,1.562500,1.593750,1.562500,1.593750,0.133441,172800
1980-03-27,1.593750,1.609375,1.578125,1.601563,0.134096,356800
1980-03-28,1.617188,1.664063,1.617188,1.664063,0.139329,246400
1980-03-31,1.664063,1.687500,1.578125,1.640625,0.137366,515200
1980-04-01,1.640625,1.687500,1.617188,1.687500,0.141291,796800
1980-04-02,1.671875,1.671875,1.648438,1.664063,0.139329,419200
1980-04-03,1.664063,1.671875,1.648438,1.656250,0.138675,155200
1980-04-07,1.656250,1.671875,1.640625,1.664063,0.139329,326400
1980-04-08,1.664063,1.703125,1.656250,1.703125,0.142599,150400
1980-04-09,1.718750,1.750000,1.718750,1.734375,0.145216,116800
1980-04-10,1.734375,1.734375,1.703125,1.703125,0.142599,356800
1980-04-11,1.718750,1.742188,1.718750,1.718750,0.143908,619200
1980-04-14,1.703125,1.703125,1.695313,1.695313,0.141945,180800
1980-04-15,1.695313,1.695313,1.664063,1.695313,0.141945,494400
1980-04-16,1.703125,1.781250,1.703125,1.726563,0.144562,539200
1980-04-17,1.718750,1.718750,1.695313,1.718750,0.143908,284800
1980-04-18,1.703125,1.703125,1.648438,1.648438,0.138020,179200
1980-04-21,1.648438,1.671875,1.648438,1.664063,0.139329,40000
1980-04-22,1.664063,1.750000,1.648438,1.750000,0.146524,200000
1980-04-23,1.750000,1.750000,1.710938,1.726563,0.144562,382400
1980-04-24,1.726563,1.734375,1.726563,1.726563,0.144562,2038400
1980-04-25,1.726563,1.734375,1.710938,1.726563,0.144562,408000
1980-04-28,1.726563,1.726563,1.718750,1.718750,0.143908,160000
1980-04-29,1.718750,1.750000,1.718750,1.718750,0.143908,73600
1980-04-30,1.718750,1.734375,1.718750,1.726563,0.144562,160000
1980-05-01,1.726563,1.742188,1.718750,1.742188,0.145870,910400
1980-05-02,1.726563,1.726563,1.718750,1.718750,0.143908,33600
1980-05-05,1.750000,1.750000,1.750000,1.750000,0.146524,72000
1980-05-06,1.757813,1.835938,1.757813,1.828125,0.153065,385600
1980-05-07,1.828125,1.835938,1.804688,1.828125,0.153065,931200
1980-05-08,1.828125,1.843750,1.804688,1.828125,0.153065,545600
1980-05-09,1.828125,1.851563,1.796875,1.796875,0.150449,312000
1980-05-12,1.796875,1.804688,1.789063,1.789063,0.149795,152000
1980-05-13,1.789063,1.828125,1.789063,1.828125,0.153065,382400
1980-05-14,1.828125,1.875000,1.820313,1.875000,0.156990,1702400
1980-05-15,1.882813,1.929688,1.882813,1.929688,0.161569,491200
1980-05-16,1.914063,1.914063,1.890625,1.890625,0.158298,278400
1980-05-19,1.890625,1.976563,1.875000,1.945313,0.162877,211200
1980-05-20,1.929688,1.929688,1.906250,1.906250,0.159606,377600
1980-05-21,1.906250,1.906250,1.898438,1.898438,0.158952,443200
1980-05-22,1.906250,1.953125,1.906250,1.929688,0.161569,360000
1980-05-23,1.937500,1.984375,1.937500,1.968750,0.164840,1750400
1980-05-27,2.000000,2.054688,2.000000,2.000000,0.167456,793600
1980-05-28,2.000000,2.039063,2.000000,2.000000,0.167456,603200
1980-05-29,2.000000,2.007813,1.953125,1.953125,0.163531,216000
1980-05-30,1.953125,1.953125,1.921875,1.945313,0.162877,768000
1980-06-02,1.929688,1.929688,1.890625,1.929688,0.161569,92800
1980-06-03,1.929688,1.937500,1.906250,1.937500,0.162223,680000
1980-06-04,1.929688,1.929688,1.914063,1.914063,0.160261,272000
1980-06-05,1.921875,2.007813,1.921875,1.984375,0.166148,1307200
1980-06-06,1.984375,2.007813,1.960938,1.992188,0.166802,89600
1980-06-09,1.992188,2.015625,1.976563,2.015625,0.168764,912000
1980-06-10,2.015625,2.031250,2.007813,2.031250,0.170072,515200
1980-06-11,2.039063,2.054688,2.039063,2.054688,0.172035,657600
1980-06-12,2.054688,2.054688,2.039063,2.039063,0.170727,942400
1980-06-13,2.039063,2.054688,2.015625,2.039063,0.170727,2987200
1980-06-16,2.039063,2.054688,2.039063,2.039063,0.170727,500800
1980-06-17,2.039063,2.046875,2.039063,2.039063,0.170727,123200
1980-06-18,2.046875,2.062500,2.046875,2.062500,0.172689,497600
1980-06-19,2.062500,2.078125,2.046875,2.078125,0.173997,142400
1980-06-20,2.078125,2.101563,2.078125,2.101563,0.175960,404800
1980-06-23,2.101563,2.132813,2.078125,2.117188,0.177268,918400
1980-06-24,2.140625,2.179688,2.140625,2.179688,0.182501,1064000
1980-06-25,2.179688,2.179688,2.164063,2.171875,0.181847,97600
1980-06-26,2.171875,2.187500,2.171875,2.171875,0.181847,763200
1980-06-27,2.171875,2.187500,2.164063,2.171875,0.181847,468800
1980-06-30,2.171875,2.171875,2.164063,2.164063,0.181193,78400
1980-07-01,2.164063,2.203125,2.156250,2.195313,0.183809,2036800
1980-07-02,2.195313,2.218750,2.195313,2.218750,0.185772,763200
1980-07-03,2.218750,2.242188,2.210938,2.234375,0.187080,1028800
1980-07-07,2.234375,2.242188,2.218750,2.242188,0.187734,411200
1980-07-08,2.234375,2.234375,2.226563,2.226563,0.186426,699200
1980-07-09,2.234375,2.289063,2.234375,2.257813,0.189042,302400
1980-07-10,2.257813,2.281250,2.257813,2.281250,0.191004,132800
1980-07-11,2.281250,2.312500,2.265625,2.289063,0.191659,243200
1980-07-14,2.312500,2.343750,2.312500,2.343750,0.196238,729600
1980-07-15,2.343750,2.421875,2.343750,2.414063,0.202125,968000
1980-07-16,2.414063,2.421875,2.343750,2.343750,0.196238,752000
1980-07-17,2.328125,2.328125,2.312500,2.328125,0.194929,156800
1980-07-18,2.351563,2.421875,2.351563,2.351563,0.196892,787200
1980-07-21,2.351563,2.351563,2.343750,2.343750,0.196238,88000
1980-07-22,2.343750,2.390625,2.343750,2.375000,0.198854,280000
1980-07-23,2.390625,2.406250,2.390625,2.390625,0.200162,182400
1980-07-24,2.390625,2.390625,2.367188,2.367188,0.198200,630400
1980-07-25,2.367188,2.375000,2.343750,2.375000,0.198854,342400
1980-07-28,2.375000,2.375000,2.367188,2.367188,0.198200,315200
1980-07-29,2.367188,2.453125,2.367188,2.437500,0.204087,1785600
1980-07-30,2.445313,2.500000,2.445313,2.460938,0.206049,2496000
1980-07-31,2.460938,2.515625,2.421875,2.515625,0.210628,1348800
1980-08-01,2.515625,2.515625,2.476563,2.492188,0.208666,190400
1980-08-04,2.492188,2.492188,2.453125,2.453125,0.205395,438400
1980-08-05,2.453125,2.492188,2.453125,2.460938,0.206049,107200
1980-08-06,2.460938,2.460938,2.367188,2.390625,0.200162,563200
1980-08-07,2.414063,2.453125,2.414063,2.429688,0.203433,737600
1980-08-08,2.429688,2.453125,2.406250,2.414063,0.202125,851200
