Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,6.428419,6.646331,6.428419,6.428419,0.845732,133500
1980-03-18,6.428419,6.918722,6.428419,6.918722,0.910237,224800
1980-03-19,6.918722,6.973200,6.700809,6.700809,0.881569,319300
1980-03-20,6.700809,6.755288,6.646331,6.755288,0.888736,118800
1980-03-21,6.755288,6.755288,6.646331,6.700809,0.881569,100200
1980-03-24,6.646331,6.646331,6.482897,6.537375,0.860067,123900
1980-03-25,6.537375,6.646331,6.428419,6.591853,0.867234,353300
1980-03-26,6.646331,6.809766,6.646331,6.700809,0.881569,83900
1980-03-27,6.700809,6.700809,6.591853,6.591853,0.867234,100000
1980-03-28,6.646331,6.700809,6.646331,6.700809,0.881569,34600
1980-03-31,6.700809,6.918722,6.646331,6.918722,0.910237,75700
1980-04-01,6.918722,7.245591,6.918722,7.191113,0.946073,142700
1980-04-02,7.191113,7.300069,7.136634,7.191113,0.946073,138800
1980-04-03,7.191113,7.354547,7.191113,7.245591,0.953240,394400
1980-04-07,7.245591,7.245591,6.973200,7.027678,0.924572,710800
1980-04-08,7.027678,7.136634,6.973200,7.136634,0.938906,274400
1980-04-09,7.136634,7.354547,7.136634,7.300069,0.960408,293400
1980-04-10,7.354547,7.517981,7.354547,7.517981,0.989077,185100
1980-04-11,7.517981,7.735894,7.517981,7.572459,0.996244,169300
1980-04-14,7.572459,7.626937,7.463503,7.517981,0.989077,237900
1980-04-15,7.463503,7.463503,7.300069,7.409025,0.974742,99300
1980-04-16,7.463503,7.790372,7.463503,7.681416,1.010578,331700
1980-04-17,7.681416,7.953806,7.681416,7.899328,1.039247,157600
1980-04-18,7.899328,7.953806,7.844850,7.953806,1.046415,125700
1980-04-21,7.953806,8.008285,7.899328,8.008285,1.053582,99500
1980-04-22,8.008285,8.062762,7.844850,8.062762,1.060749,129100
1980-04-23,8.062762,8.117241,8.008285,8.008285,1.053582,198400
1980-04-24,8.008285,8.171719,7.953806,8.117241,1.067916,351900
1980-04-25,8.117241,8.117241,8.008285,8.117241,1.067916,59800
1980-04-28,8.117241,8.117241,8.008285,8.062762,1.060749,53200
1980-04-29,8.062762,8.117241,8.062762,8.117241,1.067916,57800
1980-04-30,8.117241,8.171719,8.062762,8.117241,1.067916,353500
1980-05-01,8.117241,8.226197,8.117241,8.117241,1.067916,281300
1980-05-02,8.117241,8.171719,8.062762,8.117241,1.067916,240600
1980-05-05,8.117241,8.226197,8.008285,8.171719,1.075084,225700
1980-05-06,8.171719,8.226197,8.117241,8.226197,1.082250,384700
1980-05-07,8.226197,8.389631,8.171719,8.280675,1.089418,295700
1980-05-08,8.280675,8.280675,8.117241,8.171719,1.075084,67900
1980-05-09,8.117241,8.117241,7.899328,7.953806,1.046415,200900
1980-05-12,7.735894,7.735894,7.517981,7.681416,1.010578,146300
1980-05-13,7.681416,7.844850,7.681416,7.790372,1.024913,93600
1980-05-14,7.790372,7.899328,7.735894,7.899328,1.039247,50700
1980-05-15,7.899328,7.899328,7.626937,7.681416,1.010578,192700
1980-05-16,7.681416,7.681416,7.572459,7.572459,0.996244,50200
1980-05-19,7.572459,7.626937,7.517981,7.572459,0.996244,321000
1980-05-20,7.517981,7.517981,7.300069,7.463503,0.981910,152500
1980-05-21,7.463503,7.517981,7.354547,7.409025,0.974742,805800
1980-05-22,7.409025,7.572459,7.409025,7.572459,0.996244,170900
1980-05-23,7.572459,7.626937,7.517981,7.517981,0.989077,84200
1980-05-27,7.517981,7.735894,7.463503,7.735894,1.017746,508000
1980-05-28,7.735894,7.790372,7.626937,7.681416,1.010578,116100
1980-05-29,7.681416,7.735894,7.517981,7.626937,1.003411,161000
1980-05-30,7.626937,7.626937,7.572459,7.626937,1.003411,104100
1980-06-02,7.626937,7.626937,7.517981,7.517981,0.989077,96300
1980-06-03,7.517981,7.626937,7.517981,7.626937,1.003411,75400
1980-06-04,7.626937,7.735894,7.572459,7.681416,1.010578,118600
1980-06-05,7.681416,7.790372,7.681416,7.735894,1.017746,119500
1980-06-06,7.735894,7.844850,7.681416,7.735894,1.017746,71100
1980-06-09,7.735894,7.844850,7.681416,7.735894,1.017746,107600
1980-06-10,7.735894,7.790372,7.681416,7.735894,1.017746,147700
1980-06-11,7.735894,7.790372,7.681416,7.735894,1.017746,134600
1980-06-12,7.735894,7.899328,7.735894,7.735894,1.017746,88300
1980-06-13,7.844850,8.117241,7.844850,8.117241,1.067916,101400
1980-06-16,8.117241,8.117241,8.008285,8.062762,1.060749,159900
1980-06-17,8.062762,8.335154,8.062762,8.280675,1.089418,199600
1980-06-18,8.280675,8.335154,8.171719,8.280675,1.089418,166500
1980-06-19,8.280675,8.335154,8.226197,8.280675,1.089418,71100
1980-06-20,8.226197,8.226197,8.171719,8.171719,1.075084,85100
1980-06-23,8.171719,8.226197,8.117241,8.171719,1.075084,78200
1980-06-24,8.171719,8.226197,8.117241,8.171719,1.075084,185100
1980-06-25,8.171719,8.226197,8.171719,8.226197,1.082250,68600
1980-06-26,8.226197,8.280675,8.171719,8.226197,1.082250,145000
1980-06-27,8.226197,8.226197,8.062762,8.171719,1.075084,55900
1980-06-30,8.171719,8.171719,7.953806,8.062762,1.060749,76800
1980-07-01,8.062762,8.062762,7.953806,8.062762,1.060749,122000
1980-07-02,8.062762,8.171719,8.008285,8.008285,1.053582,237000
1980-07-03,8.008285,8.117241,8.008285,8.117241,1.067916,117000
1980-07-07,8.117241,8.226197,8.062762,8.171719,1.075084,296900
1980-07-08,8.171719,8.226197,8.117241,8.117241,1.067916,195000
1980-07-09,8.117241,8.171719,8.062762,8.171719,1.075084,69200
1980-07-10,8.171719,8.171719,8.117241,8.117241,1.067916,45600
1980-07-11,8.117241,8.171719,8.117241,8.171719,1.075084,82300
1980-07-14,8.171719,8.171719,8.062762,8.171719,1.075084,273500
1980-07-15,8.171719,8.226197,8.062762,8.062762,1.060749,86200
1980-07-16,8.062762,8.171719,8.062762,8.117241,1.067916,85500
1980-07-17,8.117241,8.171719,7.899328,8.062762,1.060749,1608900
1980-07-18,8.062762,8.062762,7.953806,8.008285,1.053582,53200
1980-07-21,8.008285,8.008285,7.899328,7.953806,1.046415,294600
1980-07-22,7.953806,7.953806,7.899328,7.899328,1.039247,47000
1980-07-23,7.899328,7.899328,7.844850,7.899328,1.039247,146800
1980-07-24,7.899328,7.899328,7.681416,7.790372,1.024913,157400
1980-07-25,7.790372,7.844850,7.790372,7.844850,1.032081,51800
1980-07-28,7.844850,7.899328,7.735894,7.790372,1.024913,74500
1980-07-29,7.790372,7.790372,7.735894,7.790372,1.024913,45600
1980-07-30,7.790372,7.790372,7.681416,7.735894,1.017746,173200
1980-07-31,7.735894,7.790372,7.626937,7.626937,1.003411,726600
1980-08-01,7.626937,7.735894,7.572459,7.626937,1.003411,337900
1980-08-04,7.572459,7.572459,7.354547,7.463503,0.981910,338800
1980-08-05,7.463503,7.626937,7.409025,7.572459,0.996244,297100
1980-08-06,7.572459,7.572459,7.517981,7.517981,0.989077,30500
1980-08-07,7.517981,7.572459,7.409025,7.463503,0.981910,356700
1980-08-08,7.463503,7.572459,7.463503,7.463503,0.981910,48800
