Date,Open,High,Low,Close,Adj Close,Volume
1997-03-27,2.062500,2.093750,2.000000,2.023438,1.530862,10659200
1997-03-31,2.046875,2.046875,2.000000,2.031250,1.536773,1594400
1997-04-01,2.078125,2.093750,2.031250,2.093750,1.584058,2324000
1997-04-02,2.132813,2.140625,2.062500,2.062500,1.560416,745600
1997-04-03,2.093750,2.109375,2.046875,2.093750,1.584058,651200
1997-04-04,2.093750,2.140625,2.093750,2.132813,1.613611,1029600
1997-04-07,2.140625,2.171875,2.140625,2.156250,1.631344,299200
1997-04-08,2.187500,2.203125,2.156250,2.203125,1.666807,464800
1997-04-09,2.218750,2.257813,2.203125,2.218750,1.678628,406400
1997-04-10,2.234375,2.265625,2.234375,2.250000,1.702271,343200
1997-04-11,2.250000,2.265625,2.203125,2.218750,1.678628,656800
1997-04-14,2.234375,2.234375,2.203125,2.234375,1.690450,246400
1997-04-15,2.265625,2.281250,2.234375,2.265625,1.714093,120000
1997-04-16,2.312500,2.312500,2.265625,2.265625,1.714093,83200
1997-04-17,2.281250,2.312500,2.250000,2.265625,1.714093,420000
1997-04-18,2.312500,2.359375,2.312500,2.343750,1.773199,307200
1997-04-21,2.375000,2.375000,2.328125,2.359375,1.785021,76000
1997-04-22,2.343750,2.375000,2.343750,2.375000,1.796842,119200
1997-04-23,2.343750,2.343750,2.312500,2.335938,1.767289,148000
1997-04-24,2.359375,2.359375,2.328125,2.359375,1.785021,169600
1997-04-25,2.343750,2.343750,2.312500,2.312500,1.749557,455200
1997-04-28,2.312500,2.312500,2.281250,2.281250,1.725914,67200
1997-04-29,2.281250,2.312500,2.281250,2.312500,1.749557,5600
1997-04-30,2.328125,2.328125,2.296875,2.296875,1.737735,15200
1997-05-01,2.328125,2.328125,2.328125,2.328125,1.761378,1600
1997-05-02,2.281250,2.296875,2.281250,2.281250,1.725914,165600
1997-05-05,2.281250,2.296875,2.250000,2.265625,1.714093,464000
1997-05-06,2.359375,2.359375,2.265625,2.281250,1.725914,716800
1997-05-07,2.250000,2.250000,2.140625,2.140625,1.619522,1116800
1997-05-08,2.156250,2.203125,2.156250,2.203125,1.666807,239200
1997-05-09,2.234375,2.242188,2.187500,2.187500,1.654987,714400
1997-05-12,2.171875,2.203125,2.093750,2.109375,1.595879,859200
1997-05-13,2.140625,2.156250,2.109375,2.125000,1.607701,895200
1997-05-14,2.171875,2.218750,2.171875,2.187500,1.654987,1036000
1997-05-15,2.218750,2.250000,2.218750,2.218750,1.678628,48000
1997-05-16,2.265625,2.265625,2.187500,2.187500,1.654987,302400
1997-05-19,2.234375,2.234375,2.203125,2.203125,1.666807,4800
1997-05-20,2.203125,2.203125,2.203125,2.203125,1.666807,0
1997-05-21,2.250000,2.250000,2.187500,2.234375,1.690450,120800
1997-05-22,2.203125,2.218750,2.171875,2.171875,1.643165,332800
1997-05-23,2.222650,2.234375,2.203125,2.203125,1.666807,447200
1997-05-27,2.203125,2.203125,2.171875,2.171875,1.643165,88800
1997-05-28,2.187500,2.187500,2.171875,2.171875,1.643165,64000
1997-05-29,2.203125,2.203125,2.203125,2.203125,1.666807,1600
1997-05-30,2.140625,2.140625,2.109375,2.140625,1.619522,49600
1997-06-02,2.156250,2.156250,2.156250,2.156250,1.631344,31200
1997-06-03,2.156250,2.156250,2.125000,2.140625,1.619522,34400
1997-06-04,2.125000,2.125000,2.125000,2.125000,1.607701,81600
1997-06-05,2.093750,2.140625,2.093750,2.109375,1.595879,16000
1997-06-06,2.109375,2.203125,2.109375,2.171875,1.643165,244000
1997-06-09,2.171875,2.218750,2.156250,2.156250,1.631344,323200
1997-06-10,2.187500,2.187500,2.187500,2.187500,1.654987,58400
1997-06-11,2.187500,2.187500,2.187500,2.187500,1.654987,0
1997-06-12,2.203125,2.234375,2.203125,2.203125,1.666807,50400
1997-06-13,2.203125,2.234375,2.187500,2.218750,1.678628,48000
1997-06-16,2.218750,2.218750,2.218750,2.218750,1.678628,4800
1997-06-17,2.187500,2.187500,2.187500,2.187500,1.654987,1600
1997-06-18,2.203125,2.203125,2.203125,2.203125,1.666807,800
1997-06-19,2.140625,2.156250,2.140625,2.156250,1.631344,28000
1997-06-20,2.156250,2.187500,2.156250,2.156250,1.631344,9600
1997-06-23,2.156250,2.156250,2.125000,2.140625,1.619522,49600
1997-06-24,2.093750,2.093750,2.062500,2.062500,1.560416,106400
1997-06-25,2.062500,2.062500,2.046875,2.046875,1.548594,24000
1997-06-26,2.093750,2.125000,2.093750,2.125000,1.607701,34400
1997-06-27,2.078125,2.109375,2.078125,2.093750,1.584058,95200
1997-06-30,2.109375,2.109375,2.046875,2.046875,1.548594,221600
1997-07-01,2.031250,2.031250,2.031250,2.031250,1.536773,214400
1997-07-02,2.015625,2.062500,2.000000,2.031250,1.536773,370400
1997-07-03,2.031250,2.062500,2.015625,2.015625,1.524952,86400
1997-07-07,2.031250,2.031250,1.921875,1.937500,1.465845,160800
1997-07-08,1.843750,1.843750,1.828125,1.843750,1.394917,33600
1997-07-09,1.734375,1.781250,1.734375,1.765625,1.335810,36000
1997-07-10,1.781250,1.800775,1.750000,1.750000,1.323989,476800
1997-07-11,1.828125,1.828125,1.796875,1.796875,1.359453,96000
1997-07-14,1.828125,1.828125,1.796875,1.796875,1.359453,3200
1997-07-15,1.765625,1.796875,1.765625,1.796875,1.359453,15200
1997-07-16,1.796875,1.796875,1.781250,1.781250,1.347632,36800
1997-07-17,1.859375,1.984375,1.851563,1.937500,1.465845,574400
1997-07-18,2.046875,2.093750,2.000000,2.015625,1.524952,784800
1997-07-21,1.953125,2.000000,1.953125,2.000000,1.513130,95200
1997-07-22,2.156250,2.156250,2.093750,2.125000,1.607701,1110400
1997-07-23,2.125000,2.140625,2.087888,2.087888,1.579623,120800
1997-07-24,2.093750,2.093750,2.046875,2.078125,1.572237,92000
