Date,Open,High,Low,Close,Adj Close,Volume
1995-12-05,3.375000,4.250000,3.375000,4.000000,4.000000,71900
1995-12-06,4.125000,4.375000,4.125000,4.250000,4.250000,6800
1995-12-07,4.375000,4.500000,3.875000,4.500000,4.500000,15000
1995-12-08,4.625000,4.625000,4.125000,4.125000,4.125000,5900
1995-12-11,4.250000,4.375000,4.250000,4.375000,4.375000,1500
1995-12-12,4.500000,5.000000,4.500000,4.750000,4.750000,6500
1995-12-13,4.625000,4.625000,3.750000,3.875000,3.875000,69500
1995-12-14,3.812500,3.937500,3.562500,3.750000,3.750000,23900
1995-12-15,3.875000,3.875000,3.125000,3.375000,3.375000,23600
1995-12-18,3.375000,3.437500,3.000000,3.375000,3.375000,25000
1995-12-19,3.500000,3.500000,3.250000,3.312500,3.312500,47900
1995-12-20,3.250000,4.000000,3.250000,3.625000,3.625000,80600
1995-12-21,3.500000,4.250000,3.500000,4.125000,4.125000,84100
1995-12-22,4.000000,4.000000,3.625000,3.687500,3.687500,34400
1995-12-26,3.625000,3.750000,3.375000,3.500000,3.500000,56800
1995-12-27,3.625000,3.687500,3.437500,3.500000,3.500000,40800
1995-12-28,3.500000,3.625000,3.375000,3.625000,3.625000,29600
1995-12-29,3.500000,3.750000,3.375000,3.750000,3.750000,120400
1996-01-02,3.625000,4.000000,3.625000,4.000000,4.000000,76500
1996-01-03,4.000000,4.062500,3.937500,4.000000,4.000000,81700
1996-01-04,4.000000,4.062500,3.875000,3.875000,3.875000,64400
1996-01-05,3.875000,3.875000,3.750000,3.875000,3.875000,11300
1996-01-08,3.750000,3.750000,3.750000,3.750000,3.750000,3100
1996-01-09,3.750000,4.000000,3.687500,3.875000,3.875000,22100
1996-01-10,3.625000,3.750000,3.500000,3.500000,3.500000,23000
1996-01-11,3.625000,3.625000,3.437500,3.500000,3.500000,31800
1996-01-12,3.500000,3.500000,3.375000,3.437500,3.437500,12600
1996-01-15,3.562500,3.625000,3.437500,3.562500,3.562500,36800
1996-01-16,3.562500,3.562500,3.375000,3.500000,3.500000,18200
1996-01-17,3.437500,3.500000,3.250000,3.500000,3.500000,37400
1996-01-18,3.500000,3.625000,3.437500,3.562500,3.562500,62800
1996-01-19,3.562500,3.687500,3.500000,3.562500,3.562500,35000
1996-01-22,3.562500,3.750000,3.500000,3.625000,3.625000,19000
1996-01-23,3.625000,3.750000,3.437500,3.687500,3.687500,28600
1996-01-24,3.750000,4.000000,3.625000,4.000000,4.000000,29900
1996-01-25,3.937500,4.250000,3.750000,4.250000,4.250000,101800
1996-01-26,4.250000,4.875000,4.187500,4.750000,4.750000,114900
1996-01-29,4.812500,5.062500,4.625000,4.812500,4.812500,61700
1996-01-30,4.812500,4.875000,4.687500,4.812500,4.812500,13400
1996-01-31,4.812500,4.875000,4.625000,4.750000,4.750000,12200
1996-02-01,4.812500,4.812500,4.562500,4.562500,4.562500,19100
1996-02-02,4.500000,4.625000,4.375000,4.562500,4.562500,25400
1996-02-05,4.562500,4.562500,4.312500,4.500000,4.500000,11100
1996-02-06,4.562500,4.750000,4.562500,4.750000,4.750000,25800
1996-02-07,4.687500,5.000000,4.500000,5.000000,5.000000,65400
1996-02-08,5.000000,5.187500,4.875000,4.937500,4.937500,68100
1996-02-09,4.812500,4.937500,4.812500,4.937500,4.937500,21300
1996-02-12,4.937500,5.062500,4.812500,4.875000,4.875000,76700
1996-02-13,4.812500,5.187500,4.812500,5.125000,5.125000,63700
1996-02-14,5.125000,5.437500,5.125000,5.250000,5.250000,105200
1996-02-15,5.250000,5.500000,5.187500,5.437500,5.437500,63300
1996-02-16,5.437500,6.250000,5.437500,6.062500,6.062500,66100
1996-02-20,6.187500,6.625000,6.000000,6.125000,6.125000,109100
1996-02-21,6.062500,6.562500,6.000000,6.437500,6.437500,98500
1996-02-22,6.375000,6.500000,6.187500,6.187500,6.187500,75200
1996-02-23,6.125000,6.187500,6.000000,6.000000,6.000000,54800
1996-02-26,6.062500,6.250000,6.062500,6.125000,6.125000,68000
