Date,Open,High,Low,Close,Adj Close,Volume
1981-12-31,9.312500,9.406250,9.218750,9.343750,1.494857,382000
1982-01-04,9.250000,9.375000,9.093750,9.187500,1.483754,271200
1982-01-05,8.937500,9.187500,8.656250,8.812500,1.423192,903200
1982-01-06,8.750000,8.843750,8.656250,8.843750,1.428239,726800
1982-01-07,8.875000,8.968750,8.781250,8.843750,1.428239,432000
1982-01-08,8.781250,8.875000,8.687500,8.750000,1.413100,693600
1982-01-11,8.750000,8.875000,8.500000,8.531250,1.377771,930800
1982-01-12,8.625000,8.812500,8.437500,8.750000,1.413100,714000
1982-01-13,8.843750,8.937500,8.718750,8.750000,1.413100,761600
1982-01-14,8.750000,8.843750,8.656250,8.812500,1.423192,367200
1982-01-15,8.812500,8.875000,8.750000,8.781250,1.418145,456400
1982-01-18,8.781250,8.875000,8.656250,8.875000,1.433287,1110000
1982-01-19,8.750000,8.906250,8.593750,8.625000,1.392912,669200
1982-01-20,8.687500,8.718750,8.625000,8.687500,1.403006,352400
1982-01-21,8.656250,8.718750,8.593750,8.625000,1.392912,324800
1982-01-22,8.656250,8.687500,8.593750,8.625000,1.392912,539200
1982-01-25,8.593750,8.625000,8.531250,8.625000,1.392912,286800
1982-01-26,8.718750,8.812500,8.625000,8.687500,1.403006,553200
1982-01-27,8.625000,8.687500,8.531250,8.593750,1.387865,830800
1982-01-28,8.875000,9.125000,8.625000,9.125000,1.473660,1855200
1982-01-29,9.062500,9.125000,9.000000,9.062500,1.463567,802000
1982-02-01,8.875000,9.031250,8.687500,8.687500,1.403006,390800
1982-02-02,8.906250,8.968750,8.812500,8.937500,1.443380,547200
1982-02-03,8.937500,9.031250,8.812500,8.812500,1.423192,492000
1982-02-04,8.906250,8.937500,8.843750,8.906250,1.438333,345600
1982-02-05,9.062500,9.125000,8.968750,9.093750,1.468614,424800
1982-02-08,9.031250,9.125000,8.906250,8.906250,1.438333,699200
1982-02-09,8.875000,8.937500,8.812500,8.812500,1.423192,518400
1982-02-10,8.906250,8.968750,8.843750,8.937500,1.443380,378800
1982-02-11,8.968750,9.093750,8.843750,8.906250,1.438333,487200
1982-02-12,8.875000,8.937500,8.781250,8.781250,1.418145,420000
1982-02-16,8.656250,8.718750,8.562500,8.687500,1.403006,800800
1982-02-17,8.625000,8.718750,8.500000,8.562500,1.382819,437200
1982-02-18,8.562500,8.625000,8.500000,8.625000,1.392912,796800
1982-02-19,8.656250,8.718750,8.593750,8.593750,1.387865,363200
1982-02-22,8.156250,8.500000,7.781250,7.781250,1.256649,2474800
