Date,Open,High,Low,Close,Adj Close,Volume
1983-11-21,7.939334,7.953386,7.377257,7.897178,0.314194,5020600
1983-11-22,7.897178,8.009593,7.855022,7.869074,0.313076,2666700
1983-11-23,7.869074,7.897178,7.784762,7.826919,0.311398,1151900
1983-11-25,7.826919,7.840971,7.742607,7.742607,0.308044,1771800
1983-11-28,7.700451,7.700451,7.503724,7.531828,0.299658,2367800
1983-11-29,7.517776,7.517776,7.433465,7.447516,0.296304,1630400
1983-11-30,7.447516,7.503724,7.419413,7.447516,0.296304,2423100
1983-12-01,7.447516,7.503724,7.405361,7.447516,0.296304,6249000
1983-12-02,7.447516,7.531828,7.391309,7.433465,0.295744,1763800
1983-12-05,7.433465,7.447516,7.349153,7.349153,0.292390,1084300
1983-12-06,7.349153,7.405361,7.349153,7.377257,0.293508,2176500
1983-12-07,7.377257,7.503724,7.377257,7.447516,0.296304,4855900
1983-12-08,7.447516,7.489672,7.433465,7.461568,0.296863,7360000
1983-12-09,7.461568,7.517776,7.461568,7.475620,0.297422,5222400
1983-12-12,7.475620,7.517776,7.461568,7.489672,0.297981,2834900
1983-12-13,7.503724,7.630191,7.503724,7.602087,0.302453,6692900
1983-12-14,7.602087,7.658295,7.602087,7.630191,0.303571,2520800
1983-12-15,7.630191,7.630191,7.573984,7.573984,0.301335,2323400
1983-12-16,7.573984,7.644243,7.573984,7.616139,0.303012,2452400
1983-12-19,7.616139,7.616139,7.588036,7.588036,0.301894,1610800
1983-12-20,7.588036,7.616139,7.531828,7.545880,0.300217,1937400
1983-12-21,7.545880,7.573984,7.475620,7.503724,0.298540,1935600
1983-12-22,7.489672,7.489672,7.405361,7.405361,0.294626,4871100
1983-12-23,7.405361,7.419413,7.349153,7.363205,0.292949,2338500
1983-12-27,7.349153,7.349153,7.306997,7.321049,0.291272,3004800
1983-12-28,7.321049,7.391309,7.321049,7.377257,0.293508,4580100
1983-12-29,7.377257,7.405361,7.363205,7.363205,0.292949,2998600
1983-12-30,7.363205,7.377257,7.321049,7.335101,0.291831,1745100
1984-01-03,7.377257,7.559932,7.377257,7.545880,0.300217,1973700
1984-01-04,7.588036,7.911230,7.588036,7.770710,0.309162,3632800
1984-01-05,7.826919,7.995542,7.826919,7.840971,0.311957,3759100
1984-01-06,7.812866,8.037697,7.812866,7.981490,0.317548,4508100
1984-01-09,7.981490,7.981490,7.883126,7.883126,0.313635,1791400
1984-01-10,7.883126,7.911230,7.855022,7.911230,0.314753,1571700
1984-01-11,7.911230,7.953386,7.911230,7.925282,0.315312,1258500
1984-01-12,7.925282,7.981490,7.911230,7.981490,0.317548,1421300
1984-01-13,8.023645,8.122008,8.023645,8.037697,0.319784,3148000
1984-01-16,8.093904,8.262527,8.093904,8.107957,0.322580,2448900
1984-01-17,8.136061,8.206320,8.136061,8.178216,0.325375,2151700
1984-01-18,8.178216,8.206320,8.136061,8.206320,0.326493,2929200
1984-01-19,8.206320,8.248476,8.164165,8.206320,0.326493,1812700
1984-01-20,8.206320,8.262527,8.206320,8.262527,0.328729,2088500
1984-01-23,8.262527,8.262527,8.220372,8.220372,0.327052,1159800
1984-01-24,8.220372,8.234424,8.206320,8.206320,0.326493,1173100
1984-01-25,8.206320,8.262527,8.206320,8.220372,0.327052,1711300
1984-01-26,8.220372,8.248476,8.178216,8.178216,0.325375,2941600
1984-01-27,8.178216,8.403047,8.178216,8.290631,0.329847,3006600
1984-01-30,8.290631,8.318735,8.220372,8.262527,0.328729,2378600
1984-01-31,8.262527,8.304684,8.248476,8.304684,0.330406,1618900
1984-02-01,8.304684,8.374943,8.248476,8.332788,0.331524,1755800
1984-02-02,8.332788,8.431150,8.290631,8.403047,0.334320,3180900
1984-02-03,8.403047,8.445203,8.276580,8.276580,0.329288,2632000
1984-02-06,8.262527,8.262527,8.192268,8.234424,0.327611,1496100
1984-02-07,8.220372,8.220372,8.122008,8.220372,0.327052,2166000
1984-02-08,8.192268,8.192268,7.925282,7.925282,0.315312,3898000
1984-02-09,7.925282,8.009593,7.925282,7.939334,0.315871,2035200
1984-02-10,7.911230,7.911230,7.826919,7.897178,0.314194,1963100
1984-02-13,7.897178,7.925282,7.826919,7.883126,0.313635,2589400
1984-02-14,7.883126,8.009593,7.883126,7.981490,0.317548,2308300
1984-02-15,7.981490,8.037697,7.911230,8.037697,0.319784,3431800
1984-02-16,8.093904,8.150112,8.093904,8.150112,0.324257,2198000
1984-02-17,8.150112,8.234424,8.107957,8.150112,0.324257,2092100
1984-02-21,8.150112,8.150112,8.051749,8.065801,0.320902,901900
1984-02-22,8.065801,8.079853,7.967438,7.967438,0.316989,2301900
1984-02-23,7.967438,7.981490,7.784762,7.883126,0.313635,3991400
1984-02-24,7.883126,8.009593,7.855022,7.995542,0.318107,2882900
1984-02-27,7.981490,7.981490,7.925282,7.967438,0.316989,1392900
1984-02-28,7.967438,7.995542,7.784762,7.826919,0.311398,1844000
